sku,name,description,type,category_id,subcat_id,s_price,rental_price,deposit,qty,images
T742ON,"Rent Damini","1) Vilandi Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha.
2) Comes attached with a maang tikka.
3) This design is inspired from rajasthani culture.
4) This will match well with lehengas and heavy ethnic outfits.
5) Combine this Damini with heavy earrings to complete the look.",jewellery,14,57,,,,1,"https://srishringarr.com/yn/uploads/2020/07/15947176510.jpg,https://srishringarr.com/yn/uploads/2020/07/15947177231.jpg,https://srishringarr.com/yn/uploads/2020/07/15947177232.jpg,https://srishringarr.com/yn/uploads/2020/07/15947177233.jpg,https://srishringarr.com/yn/uploads/2020/07/15947177234.jpg"
T741ON,"Rent Head chain","1) Vilandi Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha.
2) Comes attached with a maang tikka.
3) This design is inspired from rajasthani culture.
4) This will match well with lehengas and heavy ethnic outfits.
5) Combine this Damini with heavy earrings to complete the look.",jewellery,14,57,,,,4,"https://srishringarr.com/yn/uploads/2020/07/15947173270.jpg,https://srishringarr.com/yn/uploads/2020/07/15947174001.jpg,https://srishringarr.com/yn/uploads/2020/07/15947174002.jpg,https://srishringarr.com/yn/uploads/2020/07/15947174013.jpg,https://srishringarr.com/yn/uploads/2020/07/15947174014.jpg"
T741AON,"Rent Matha Patti","1) Vilandi Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold beads & pearl combination for women designed by Yosshita & Neha.
2) Comes attached with a maang tikka.
3) This design is inspired from rajasthani culture.
4) This will match well with lehengas and heavy ethnic outfits.
5) Combine this Damini with heavy earrings to complete the look.",jewellery,14,57,,,,5,"https://srishringarr.com/yn/uploads/2020/07/15947171350.jpg,https://srishringarr.com/yn/uploads/2020/07/15947172221.jpg,https://srishringarr.com/yn/uploads/2020/07/15947172222.jpg,https://srishringarr.com/yn/uploads/2020/07/15947172233.jpg,https://srishringarr.com/yn/uploads/2020/07/15947172234.jpg,https://srishringarr.com/yn/uploads/2020/07/15947172235.jpg"
T736ON,"Rent Head Accessory","1) Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with zircon/ diamond & pearl combination for women designed by Yosshita & Neha.
2) Comes attached with a maang tikka. This is one sided damini.
3) This design is inspired from rajasthani culture.
4) This will match well with lehengas and heavy ethnic outfits.
5) Combine this Damini with heavy earrings to complete the look.
6) The tikka is encrusted with red and green coloured kundan/polki.",jewellery,14,57,,,,1,"https://srishringarr.com/yn/uploads/2020/07/15947169770.jpg,https://srishringarr.com/yn/uploads/2020/07/15947170671.jpg,https://srishringarr.com/yn/uploads/2020/07/15947170672.jpg,https://srishringarr.com/yn/uploads/2020/07/15947170673.jpg,https://srishringarr.com/yn/uploads/2020/07/15947170674.jpg,https://srishringarr.com/yn/uploads/2020/07/15947170685.jpg"
T734ON,"Rent Hair Accessory for women","1) Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with semi precious kundan/polki & pearl combination for women designed by Yosshita & Neha.
2) Comes attached with a maang tikka.
3) This design is inspired from rajasthani culture.
4) This will match well with lehengas and heavy ethnic outfits.
5) Combine this Damini with heavy earrings to complete the look.
6) Suitable for minimalist brides.
7) The tikka is encrusted with red and green coloured kundan/polki.",jewellery,14,57,,,,3,"https://srishringarr.com/yn/uploads/2020/07/15947168210.jpg,https://srishringarr.com/yn/uploads/2020/07/15947168831.jpg,https://srishringarr.com/yn/uploads/2020/07/15947168832.jpg,https://srishringarr.com/yn/uploads/2020/07/15947168833.jpg"
T734AON,"Rent Indian Hair Accessory","1) Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with semi precious kundan/polki & pearl combination for women designed by Yosshita & Neha.
2) Comes attached with a maang tikka.
3) This design is inspired from rajasthani culture.
4) This will match well with lehengas and heavy ethnic outfits.
5) Combine this Damini with heavy earrings to complete the look.
6) Suitable for minimalist brides.
7) The tikka is encrusted with topaz coloured kundan/polki.",jewellery,14,57,,,,11,"https://srishringarr.com/yn/uploads/2020/07/15947166480.jpg,https://srishringarr.com/yn/uploads/2020/07/15947167251.jpg,https://srishringarr.com/yn/uploads/2020/07/15947167252.jpg,https://srishringarr.com/yn/uploads/2020/07/15947167253.jpg,https://srishringarr.com/yn/uploads/2020/07/15947167264.jpg,https://srishringarr.com/yn/uploads/2020/07/15947167265.jpg"
D538ON,"Rent Kundan Head chain for bride","1) Antique Damini/ Matha Patti/ Head chain/ Head Accessory/ Indian Hair Accessory/ Hair Accessory with gold & pearl combination for women designed by Yosshita & Neha.
2) This design is inspired from the rajasthani culture.
3) This will match well with lehengas and heavy ethnic outfits.
4) Combine this Damini with a maang tikka and jhumkis to complete the look.",jewellery,14,57,,,,3,"https://srishringarr.com/yn/uploads/2020/07/15947164660.jpg,https://srishringarr.com/yn/uploads/2020/07/15947165491.jpg,https://srishringarr.com/yn/uploads/2020/07/15947165492.jpg,https://srishringarr.com/yn/uploads/2020/07/15947165493.jpg,https://srishringarr.com/yn/uploads/2020/07/15947165494.jpg,https://srishringarr.com/yn/uploads/2020/07/15947165495.jpg"
D574ON,"Rent Bridal Kundan Matha Patti with Tikka","1) Womens Real Look, Traditional Micro Gold  Polished  Semi Precious Kundan & Pearl Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully & studded with White Coloured Semi Precious Kundan & Pearl.
6) This tikka comes attached with single string golden beads damini.
7) Comes micro Gold polished.
8) It has a Copper metal base.
9) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,2,"https://srishringarr.com/yn/uploads/2020/07/15947160180.jpg,https://srishringarr.com/yn/uploads/2020/07/15947160821.jpg,https://srishringarr.com/yn/uploads/2020/07/15947160832.jpg,https://srishringarr.com/yn/uploads/2020/07/15947160833.jpg,https://srishringarr.com/yn/uploads/2020/07/15947160834.jpg"
D572ON,"Rent Bridal Kundan Head chain with Tikka","1) Womens Real Look, Traditional Micro Gold  Polished Gold Beads & pearl Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully with micro gold polished beads & pearl.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,2,"https://srishringarr.com/yn/uploads/2020/07/15947157120.jpg,https://srishringarr.com/yn/uploads/2020/07/15947157811.jpg,https://srishringarr.com/yn/uploads/2020/07/15947157822.jpg,https://srishringarr.com/yn/uploads/2020/07/15947157823.jpg,https://srishringarr.com/yn/uploads/2020/07/15947157824.jpg"
D566ON,"Rent Bridal Kundan Hair Accessory with Tikka","1) Womens Real Look, Traditional Micro Gold  Polished Semi Precious Kundan & Pearl Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully & studded with Green Coloured Semi Precious Kundan & Pearl.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,1,"https://srishringarr.com/yn/uploads/2020/07/15947093640.jpg,https://srishringarr.com/yn/uploads/2020/07/15947094571.jpg,https://srishringarr.com/yn/uploads/2020/07/15947094572.jpg,https://srishringarr.com/yn/uploads/2020/07/15947094573.jpg,https://srishringarr.com/yn/uploads/2020/07/15947094574.jpg"
D562AON,"Rent Bridal Kundan Hair Accessory for women with Tikka","1) Womens Real Look, Traditional Micro Gold Polished Semi Precious Kundan & Pearl Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully & studded with White Coloured Semi Precious Kundan, Green Beads & Pearl.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.
9) This tikka comes attached with heavy kundan damini.
10) Inspired from the sabyasachi bride this tikka is suitablle for brides who love traditional style of jewelery.",jewellery,14,57,,,,1,"https://srishringarr.com/yn/uploads/2020/07/15947091190.jpg,https://srishringarr.com/yn/uploads/2020/07/15947091821.jpg,https://srishringarr.com/yn/uploads/2020/07/15947091822.jpg,https://srishringarr.com/yn/uploads/2020/07/15947091823.jpg,https://srishringarr.com/yn/uploads/2020/07/15947091824.jpg"
D561AON,"Rent Damini for bride","1) Womens Real Look, Traditional Micro Gold Polished Semi Precious Kundan & Pearl Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully & studded with White Coloured Semi Precious Kundan, Green Beads & Pearl.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.
9) This tikka comes attached with heavy kundan damini.
10) Inspired from the sabyasachi bride this tikka is suitablle for brides who love traditional style of jewelery.",jewellery,14,57,,,,1,"https://srishringarr.com/yn/uploads/2020/07/15947086320.jpg,https://srishringarr.com/yn/uploads/2020/07/15947086851.jpg,https://srishringarr.com/yn/uploads/2020/07/15947086862.jpg,https://srishringarr.com/yn/uploads/2020/07/15947086863.jpg,https://srishringarr.com/yn/uploads/2020/07/15947086864.jpg"
D560BON,"Rent Matha Patti for bride","1) Womens Real Look, Traditional Micro Gold Polished Semi Precious Kundan & Pearl Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully & studded with White Coloured Semi Precious Kundan, Green Beads & Pearl.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.
9) This tikka comes attached with heavy kundan damini.
10) Inspired from the sabyasachi bride this tikka is suitablle for brides who love traditional style of jewelery.",jewellery,14,57,,,,1,"https://srishringarr.com/yn/uploads/2020/07/15947081430.jpg,https://srishringarr.com/yn/uploads/2020/07/15947082231.jpg,https://srishringarr.com/yn/uploads/2020/07/15947082232.jpg,https://srishringarr.com/yn/uploads/2020/07/15947082233.jpg,https://srishringarr.com/yn/uploads/2020/07/15947082244.jpg"
D559ON,"Rent Head chain for bride","1) Womens Real Look, Traditional Micro Gold  Polished Gold Beads Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully with micro gold polished beads.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,4,"https://srishringarr.com/yn/uploads/2020/07/15947078130.jpg,https://srishringarr.com/yn/uploads/2020/07/15947078911.jpg,https://srishringarr.com/yn/uploads/2020/07/15947078912.jpg,https://srishringarr.com/yn/uploads/2020/07/15947078913.jpg,https://srishringarr.com/yn/uploads/2020/07/15947078924.jpg"
D524ON,"Rent Kundan Head Accessory for bride","1) Womens Real Look, Traditional Micro Gold  Polished Gold Beads Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully with micro gold polished beads.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,3,"https://srishringarr.com/yn/uploads/2020/07/15947072740.jpg,https://srishringarr.com/yn/uploads/2020/07/15947074751.jpg,https://srishringarr.com/yn/uploads/2020/07/15947074752.jpg,https://srishringarr.com/yn/uploads/2020/07/15947074753.jpg,https://srishringarr.com/yn/uploads/2020/07/15947074754.jpg"
D510ON,"Rent Matha Patti for wedding","1) Womens Real Look, Traditional Micro Gold  Polished Gold Chain & Pearls Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully with micro gold polished chain & beads.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,5,"https://srishringarr.com/yn/uploads/2020/07/15947070790.jpg,https://srishringarr.com/yn/uploads/2020/07/15947071761.jpg,https://srishringarr.com/yn/uploads/2020/07/15947071762.jpg,https://srishringarr.com/yn/uploads/2020/07/15947071763.jpg,https://srishringarr.com/yn/uploads/2020/07/15947071764.jpg"
D507ON,"Rent Elegant Damini with Tikka","1) Womens Real Look, Traditional Micro Gold  Polished Semi Precious Stones Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully & studded with Semi Precious Stones.
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,3,"https://srishringarr.com/yn/uploads/2020/07/15947069190.jpg,https://srishringarr.com/yn/uploads/2020/07/15947069991.jpg,https://srishringarr.com/yn/uploads/2020/07/15947069992.jpg,https://srishringarr.com/yn/uploads/2020/07/15947069993.jpg,https://srishringarr.com/yn/uploads/2020/07/15947069994.jpg"
D504ON,"Rent Elegant Matha Patti with Tikka","1) Womens Real Look, Traditional Micro Gold  Polished Gold Chain Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully with micro gold polished chain .
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,1,"https://srishringarr.com/yn/uploads/2020/07/15947067420.jpg,https://srishringarr.com/yn/uploads/2020/07/15947068421.jpg,https://srishringarr.com/yn/uploads/2020/07/15947068422.jpg,https://srishringarr.com/yn/uploads/2020/07/15947068423.jpg,https://srishringarr.com/yn/uploads/2020/07/15947068424.jpg"
D503ON,"Rent Elegant Head chain with Tikka","1) Womens Real Look, Traditional Micro Gold  Polished Semi Precious Stones & Beads Damini/Maang Tikka/ Matha patti/ Tikka/Borla designed by Yosshita & Neha.
2) If you want to mesmerize those beholders at the next wedding or engagement party, then this Damini/Maang Tikka/ Matha patti/ Tikka/Borla from  Studio is what you need.
3) Featuring attractive designs, this Damini/Maang Tikka/ Matha patti/ Tikka/Borla can look elegant and stylish when worn with Anarkali, Lehengas Or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this Damini/Maang Tikka/ Matha patti/ Tikka/Borla.
5) This is carved beautifully & studded with Semi Precious Stones & Beads .
6) Comes micro Gold polished.
7) It has a Copper metal base.
8) Gives a rich yet elegant touch to your attire.",jewellery,14,57,,,,2,"https://srishringarr.com/yn/uploads/2020/07/15947065650.jpg,https://srishringarr.com/yn/uploads/2020/07/15947066511.jpg,https://srishringarr.com/yn/uploads/2020/07/15947066522.jpg,https://srishringarr.com/yn/uploads/2020/07/15947066523.jpg,https://srishringarr.com/yn/uploads/2020/07/15947066524.jpg"
